Dominio; succPlans; failPlans
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsFold1.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR10Fold1.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR20Fold1.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR3Fold1.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR5Fold1.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsFold2.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR10Fold2.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR20Fold2.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR3Fold2.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR5Fold2.pddl; 0; 4
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsFold3.pddl; 4; 1
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR10Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR20Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR3Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR5Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsFold4.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR10Fold4.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR20Fold4.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR3Fold4.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR5Fold4.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsFold5.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR10Fold5.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR20Fold5.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR3Fold5.pddl; 0; 3
outputPM/Domains/RuidoL-Depots/RuidoL-DepotsR5Fold5.pddl; 0; 3
